nuc,name,category_name,category_code,total
SANDA,Andamooka School Community. Andamooka Library.,Research & Reports,research,122
VTAMA,Ararat Gallery TAMA.,Books & Libraries,book,0
VTAMA,Ararat Gallery TAMA.,"Diaries, Letters & Archives",diary,0
VTAMA,Ararat Gallery TAMA.,"Images, Maps & Artefacts",image,549
VTAMA,Ararat Gallery TAMA.,Magazines & Newsletters,magazine,0
VTAMA,Ararat Gallery TAMA.,"Music, Audio & Video",music,0
VTAMA,Ararat Gallery TAMA.,Research & Reports,research,0
AAACT,ArchivesACT.,Books & Libraries,book,0
AAACT,ArchivesACT.,"Diaries, Letters & Archives",diary,103937
AAACT,ArchivesACT.,"Images, Maps & Artefacts",image,7446
AAACT,ArchivesACT.,Magazines & Newsletters,magazine,0
AAACT,ArchivesACT.,"Music, Audio & Video",music,0
AAACT,ArchivesACT.,Research & Reports,research,0
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,Books & Libraries,book,51445
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,"Diaries, Letters & Archives",diary,205
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,"Images, Maps & Artefacts",image,301
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,Magazines & Newsletters,magazine,1
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,"Music, Audio & Video",music,27641
NARM,Armidale Regional Council Libraries. Armidale War Memorial Library.,Research & Reports,research,1233
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,Books & Libraries,book,66597
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,"Diaries, Letters & Archives",diary,11026
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,"Images, Maps & Artefacts",image,641
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,Magazines & Newsletters,magazine,0
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,"Music, Audio & Video",music,812
NSWA,Art Gallery of New South Wales. Edmund and Joanna Capon Research Library and Archive.,Research & Reports,research,5745
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,Books & Libraries,book,39027
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,"Diaries, Letters & Archives",diary,188
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,"Images, Maps & Artefacts",image,579
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,Magazines & Newsletters,magazine,1
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,"Music, Audio & Video",music,358
SAA,Art Gallery of South Australia. Art Gallery of South Australia Research Library.,Research & Reports,research,4086
VACP,Arts Centre Melbourne. Performing Arts Collection.,Books & Libraries,book,5145
VACP,Arts Centre Melbourne. Performing Arts Collection.,"Diaries, Letters & Archives",diary,99
VACP,Arts Centre Melbourne. Performing Arts Collection.,"Images, Maps & Artefacts",image,21
VACP,Arts Centre Melbourne. Performing Arts Collection.,Magazines & Newsletters,magazine,1
VACP,Arts Centre Melbourne. Performing Arts Collection.,"Music, Audio & Video",music,299
VACP,Arts Centre Melbourne. Performing Arts Collection.,Research & Reports,research,249
NAS,Ascham School: Margaret Bailey Library.,Books & Libraries,book,5
NAS,Ascham School: Margaret Bailey Library.,"Diaries, Letters & Archives",diary,0
NAS,Ascham School: Margaret Bailey Library.,"Images, Maps & Artefacts",image,0
NAS,Ascham School: Margaret Bailey Library.,Magazines & Newsletters,magazine,0
NAS,Ascham School: Margaret Bailey Library.,"Music, Audio & Video",music,2
NAS,Ascham School: Margaret Bailey Library.,Research & Reports,research,0
NCHBS,ASEAN - China Business Services.,Books & Libraries,book,27
NCHBS,ASEAN - China Business Services.,"Diaries, Letters & Archives",diary,0
NCHBS,ASEAN - China Business Services.,"Images, Maps & Artefacts",image,0
NCHBS,ASEAN - China Business Services.,Magazines & Newsletters,magazine,0
NCHBS,ASEAN - China Business Services.,"Music, Audio & Video",music,3
NCHBS,ASEAN - China Business Services.,Research & Reports,research,0
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,Books & Libraries,book,45954
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,"Diaries, Letters & Archives",diary,286
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,"Images, Maps & Artefacts",image,127
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,Magazines & Newsletters,magazine,0
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,"Music, Audio & Video",music,1334
VSPC,Association of Franciscan Order of Friars Minor. St Paschal Library.,Research & Reports,research,1586
AAGD,Attorney General's Department.,Books & Libraries,book,13879
AAGD,Attorney General's Department.,"Diaries, Letters & Archives",diary,31
AAGD,Attorney General's Department.,"Images, Maps & Artefacts",image,53
AAGD,Attorney General's Department.,Magazines & Newsletters,magazine,1
AAGD,Attorney General's Department.,"Music, Audio & Video",music,361
AAGD,Attorney General's Department.,Research & Reports,research,6313
VAGB,Aussie Global Books.,Books & Libraries,book,2
VAGB,Aussie Global Books.,"Diaries, Letters & Archives",diary,0
VAGB,Aussie Global Books.,"Images, Maps & Artefacts",image,0
VAGB,Aussie Global Books.,Magazines & Newsletters,magazine,0
VAGB,Aussie Global Books.,"Music, Audio & Video",music,0
VAGB,Aussie Global Books.,Research & Reports,research,0
SAUS,AusStage.,Books & Libraries,book,157752
SAUS,AusStage.,"Diaries, Letters & Archives",diary,11047
SAUS,AusStage.,"Images, Maps & Artefacts",image,3552
SAUS,AusStage.,Magazines & Newsletters,magazine,0
